Day,Hour,MWh
01/01/2022,1,5867.04
01/01/2022,2,5622.00
01/01/2022,3,5444.00
01/01/2022,4,5317.50
01/01/2022,5,5260.50
01/01/2022,6,5240.00
01/01/2022,7,5220.25
01/01/2022,8,5202.75
01/01/2022,9,5276.50
01/01/2022,10,5361.75
01/01/2022,11,5433.50
01/01/2022,12,5507.00
01/01/2022,13,5530.50
01/01/2022,14,5487.25
01/01/2022,15,5543.75
01/01/2022,16,5746.75
01/01/2022,17,6275.25
01/01/2022,18,6373.75
01/01/2022,19,6352.00
01/01/2022,20,6294.50
01/01/2022,21,6125.75
01/01/2022,22,5871.00
01/01/2022,23,5587.25
01/01/2022,24,5339.00
02/01/2022,1,5145.00
02/01/2022,2,5029.00
02/01/2022,3,4968.00
02/01/2022,4,4978.50
02/01/2022,5,5046.75
02/01/2022,6,5189.75
02/01/2022,7,5352.50
02/01/2022,8,5545.75
02/01/2022,9,5705.00
02/01/2022,10,5735.25
02/01/2022,11,5752.50
02/01/2022,12,5785.00
02/01/2022,13,5791.50
02/01/2022,14,5766.75
02/01/2022,15,5862.75
02/01/2022,16,6062.50
02/01/2022,17,6644.25
02/01/2022,18,6793.50
02/01/2022,19,6784.50
02/01/2022,20,6696.75
02/01/2022,21,6478.75
02/01/2022,22,6111.00
02/01/2022,23,5781.75
02/01/2022,24,5513.00
03/01/2022,1,5335.25
03/01/2022,2,5227.25
03/01/2022,3,5184.00
03/01/2022,4,5252.25
03/01/2022,5,5465.75
03/01/2022,6,6099.25
03/01/2022,7,6921.00
03/01/2022,8,7482.75
03/01/2022,9,7900.75
03/01/2022,10,8017.00
03/01/2022,11,7963.25
03/01/2022,12,7922.50
03/01/2022,13,7895.00
03/01/2022,14,7760.50
03/01/2022,15,7671.25
03/01/2022,16,7776.75
03/01/2022,17,8144.00
03/01/2022,18,8142.25
03/01/2022,19,8016.00
03/01/2022,20,7857.25
03/01/2022,21,7469.00
03/01/2022,22,6898.00
03/01/2022,23,6453.25
03/01/2022,24,6159.50
04/01/2022,1,5985.75
04/01/2022,2,5869.25
04/01/2022,3,5814.50
04/01/2022,4,5876.75
04/01/2022,5,6016.50
04/01/2022,6,6513.75
04/01/2022,7,7236.75
04/01/2022,8,7724.00
04/01/2022,9,7941.00
04/01/2022,10,7905.00
04/01/2022,11,7749.00
04/01/2022,12,7698.75
04/01/2022,13,7686.25
04/01/2022,14,7555.50
04/01/2022,15,7553.00
